unit,time,y,treated
tokyo_sports,2023-01-02,207.8,1
osaka_sports,2023-01-02,202.9,1
nagoya_sports,2023-01-02,199.7,1
fukuoka_sports,2023-01-02,197.3,1
sendai_sports,2023-01-02,194.8,1
sapporo_sports,2023-01-02,197.5,1
tokyo_lifestyle,2023-01-02,204.4,0
osaka_lifestyle,2023-01-02,200.5,0
nagoya_lifestyle,2023-01-02,197.8,0
fukuoka_lifestyle,2023-01-02,196.2,0
sendai_lifestyle,2023-01-02,194.7,0
sapporo_lifestyle,2023-01-02,197.9,0
tokyo_sports,2023-01-09,210.7,1
osaka_sports,2023-01-09,205.5,1
nagoya_sports,2023-01-09,201.7,1
fukuoka_sports,2023-01-09,198.6,1
sendai_sports,2023-01-09,195.4,1
sapporo_sports,2023-01-09,197.5,1
tokyo_lifestyle,2023-01-09,204.0,0
osaka_lifestyle,2023-01-09,199.8,0
nagoya_lifestyle,2023-01-09,196.8,0
fukuoka_lifestyle,2023-01-09,194.7,0
sendai_lifestyle,2023-01-09,192.4,0
sapporo_lifestyle,2023-01-09,195.1,0
tokyo_sports,2023-01-16,212.9,1
osaka_sports,2023-01-16,206.9,1
nagoya_sports,2023-01-16,201.8,1
fukuoka_sports,2023-01-16,197.5,1
sendai_sports,2023-01-16,193.9,1
sapporo_sports,2023-01-16,196.5,1
tokyo_lifestyle,2023-01-16,204.3,0
osaka_lifestyle,2023-01-16,201.6,0
nagoya_lifestyle,2023-01-16,200.0,0
fukuoka_lifestyle,2023-01-16,198.9,0
sendai_lifestyle,2023-01-16,197.2,0
sapporo_lifestyle,2023-01-16,200.1,0
tokyo_sports,2023-01-23,214.4,1
osaka_sports,2023-01-23,206.9,1
nagoya_sports,2023-01-23,200.4,1
fukuoka_sports,2023-01-23,196.2,1
sendai_sports,2023-01-23,194.4,1
sapporo_sports,2023-01-23,199.9,1
tokyo_lifestyle,2023-01-23,209.8,0
osaka_lifestyle,2023-01-23,207.4,0
nagoya_lifestyle,2023-01-23,203.9,0
fukuoka_lifestyle,2023-01-23,199.7,0
sendai_lifestyle,2023-01-23,195.4,0
sapporo_lifestyle,2023-01-23,197.4,0
tokyo_sports,2023-01-30,215.1,1
osaka_sports,2023-01-30,206.0,1
nagoya_sports,2023-01-30,199.2,1
fukuoka_sports,2023-01-30,197.2,1
sendai_sports,2023-01-30,198.9,1
sapporo_sports,2023-01-30,205.8,1
tokyo_lifestyle,2023-01-30,213.4,0
osaka_lifestyle,2023-01-30,206.2,0
nagoya_lifestyle,2023-01-30,199.3,0
fukuoka_lifestyle,2023-01-30,196.2,0
sendai_lifestyle,2023-01-30,196.8,0
sapporo_lifestyle,2023-01-30,203.6,0
tokyo_sports,2023-02-06,215.2,1
osaka_sports,2023-02-06,204.8,1
nagoya_sports,2023-02-06,199.5,1
fukuoka_sports,2023-02-06,201.1,1
sendai_sports,2023-02-06,204.2,1
sapporo_sports,2023-02-06,207.4,1
tokyo_lifestyle,2023-02-06,209.5,0
osaka_lifestyle,2023-02-06,201.6,0
nagoya_lifestyle,2023-02-06,200.5,0
fukuoka_lifestyle,2023-02-06,203.9,0
sendai_lifestyle,2023-02-06,204.0,0
sapporo_lifestyle,2023-02-06,203.2,0
tokyo_sports,2023-02-13,214.8,1
osaka_sports,2023-02-13,203.9,1
nagoya_sports,2023-02-13,201.7,1
fukuoka_sports,2023-02-13,206.0,1
sendai_sports,2023-02-13,205.8,1
sapporo_sports,2023-02-13,203.2,1
tokyo_lifestyle,2023-02-13,206.2,0
osaka_lifestyle,2023-02-13,206.0,0
nagoya_lifestyle,2023-02-13,208.7,0
fukuoka_lifestyle,2023-02-13,205.1,0
sendai_lifestyle,2023-02-13,196.9,0
sapporo_lifestyle,2023-02-13,198.8,0
tokyo_sports,2023-02-20,214.1,1
osaka_sports,2023-02-20,203.9,1
nagoya_sports,2023-02-20,205.5,1
fukuoka_sports,2023-02-20,208.8,1
sendai_sports,2023-02-20,202.6,1
sapporo_sports,2023-02-20,200.1,1
tokyo_lifestyle,2023-02-20,210.9,0
osaka_lifestyle,2023-02-20,212.6,0
nagoya_lifestyle,2023-02-20,206.1,0
fukuoka_lifestyle,2023-02-20,198.4,0
sendai_lifestyle,2023-02-20,199.5,0
sapporo_lifestyle,2023-02-20,208.2,0
tokyo_sports,2023-02-27,213.3,1
osaka_sports,2023-02-27,205.1,1
nagoya_sports,2023-02-27,209.2,1
fukuoka_sports,2023-02-27,208.1,1
sendai_sports,2023-02-27,199.0,1
sapporo_sports,2023-02-27,203.3,1
tokyo_lifestyle,2023-02-27,216.6,0
osaka_lifestyle,2023-02-27,209.6,0
nagoya_lifestyle,2023-02-27,201.5,0
fukuoka_lifestyle,2023-02-27,203.9,0
sendai_lifestyle,2023-02-27,205.2,0
sapporo_lifestyle,2023-02-27,203.2,0
tokyo_sports,2023-03-06,212.6,1
osaka_sports,2023-03-06,207.4,1
nagoya_sports,2023-03-06,211.6,1
fukuoka_sports,2023-03-06,205.2,1
sendai_sports,2023-03-06,199.3,1
sapporo_sports,2023-03-06,208.7,1
tokyo_lifestyle,2023-03-06,215.1,0
osaka_lifestyle,2023-03-06,205.9,0
nagoya_lifestyle,2023-03-06,206.8,0
fukuoka_lifestyle,2023-03-06,206.6,0
