unit,time,y,treated
c1,2024-08-26,97.0,0
c2,2024-08-26,100.0,0
c3,2024-08-26,102.5,0
t1,2024-08-26,98.0,1
t2,2024-08-26,101.0,1
t3,2024-08-26,103.0,1
c1,2024-09-02,99.4,0
c2,2024-09-02,102.4,0
c3,2024-09-02,104.9,0
t1,2024-09-02,100.4,1
t2,2024-09-02,103.4,1
t3,2024-09-02,105.4,1
c1,2024-09-09,98.0,0
c2,2024-09-09,101.0,0
c3,2024-09-09,103.5,0
t1,2024-09-09,99.0,1
t2,2024-09-09,102.0,1
t3,2024-09-09,104.0,1
c1,2024-09-16,101.9,0
c2,2024-09-16,104.9,0
c3,2024-09-16,107.4,0
t1,2024-09-16,102.9,1
t2,2024-09-16,105.9,1
t3,2024-09-16,107.9,1
c1,2024-09-23,99.2,0
c2,2024-09-23,102.2,0
c3,2024-09-23,104.7,0
t1,2024-09-23,100.2,1
t2,2024-09-23,103.2,1
t3,2024-09-23,105.2,1
c1,2024-09-30,102.2,0
c2,2024-09-30,105.2,0
c3,2024-09-30,107.7,0
t1,2024-09-30,103.2,1
t2,2024-09-30,106.2,1
t3,2024-09-30,108.2,1
c1,2024-10-07,103.5,0
c2,2024-10-07,106.5,0
c3,2024-10-07,109.0,0
t1,2024-10-07,104.5,1
t2,2024-10-07,107.5,1
t3,2024-10-07,109.5,1
c1,2024-10-14,102.8,0
c2,2024-10-14,105.8,0
c3,2024-10-14,108.3,0
t1,2024-10-14,103.8,1
t2,2024-10-14,106.8,1
t3,2024-10-14,108.8,1
c1,2024-10-21,104.2,0
c2,2024-10-21,107.2,0
c3,2024-10-21,109.7,0
t1,2024-10-21,105.2,1
t2,2024-10-21,108.2,1
t3,2024-10-21,110.2,1
c1,2024-10-28,106.6,0
c2,2024-10-28,109.6,0
c3,2024-10-28,112.1,0
t1,2024-10-28,107.6,1
t2,2024-10-28,110.6,1
t3,2024-10-28,112.6,1
c1,2024-11-04,105.2,0
c2,2024-11-04,108.2,0
c3,2024-11-04,110.7,0
t1,2024-11-04,106.2,1
t2,2024-11-04,109.2,1
t3,2024-11-04,111.2,1
c1,2024-11-11,109.1,0
c2,2024-11-11,112.1,0
c3,2024-11-11,114.6,0
t1,2024-11-11,110.1,1
t2,2024-11-11,113.1,1
t3,2024-11-11,115.1,1
c1,2024-11-18,106.4,0
c2,2024-11-18,109.4,0
c3,2024-11-18,111.9,0
t1,2024-11-18,107.4,1
t2,2024-11-18,110.4,1
t3,2024-11-18,112.4,1
c1,2024-11-25,109.4,0
c2,2024-11-25,112.4,0
c3,2024-11-25,114.9,0
t1,2024-11-25,110.4,1
t2,2024-11-25,113.4,1
t3,2024-11-25,115.4,1
c1,2024-12-02,110.7,0
c2,2024-12-02,113.7,0
c3,2024-12-02,116.2,0
t1,2024-12-02,111.7,1
t2,2024-12-02,114.7,1
t3,2024-12-02,116.7,1
c1,2024-12-09,110.0,0
c2,2024-12-09,113.0,0
c3,2024-12-09,115.5,0
t1,2024-12-09,111.0,1
t2,2024-12-09,114.0,1
t3,2024-12-09,116.0,1
c1,2024-12-16,111.4,0
c2,2024-12-16,114.4,0
c3,2024-12-16,116.9,0
t1,2024-12-16,112.4,1
t2,2024-12-16,115.4,1
t3,2024-12-16,117.4,1
c1,2024-12-23,113.8,0
c2,2024-12-23,116.8,0
c3,2024-12-23,119.3,0
t1,2024-12-23,114.8,1
t2,2024-12-23,117.8,1
t3,2024-12-23,119.8,1
c1,2024-12-30,112.4,0
c2,2024-12-30,115.4,0
c3,2024-12-30,117.9,0
t1,2024-12-30,113.4,1
